Month,Data1,Data2
2001-03,663,2367994
2001-04,311,2673473
2001-05,124,2665376
2001-06,32,2356213
2001-07,10,2316287
2001-08,7,2421463
2001-09,74,3009403
2001-10,271,2947484
2001-11,411,3301789
2001-12,704,3375867
2002-01,785,2766953
2002-02,672,2363706
2002-03,629,2287981
2002-04,296,2559333
2002-05,196,2582825
2002-06,27,2316782
2002-07,4,2241399
2002-08,10,2360385
2002-09,43,2780564
2002-10,310,3059140
2002-11,567,3593297
2002-12,819,3008222
2003-01,948,2684978
2003-02,806,2259328
2003-03,580,2138211
2003-04,360,2436266
2003-05,177,2417590
2003-06,45,2242031
2003-07,5,2116420
2003-08,6,2271622
2003-09,67,2640102
2003-10,266,3095717
2003-11,490,3335219
2003-12,792,3188152
2004-01,968,2446546
2004-02,766,2320505
2004-03,498,2156948
2004-04,312,2404283
2004-05,117,2468300
2004-06,41,2134224
2004-07,9,2076671
2004-08,22,2263569
2004-09,53,2725503
2004-10,260,3062299
2004-11,497,3327245
2004-12,802,3170717
2005-01,855,2783754
2005-02,674,2306544
2005-03,647,2206252
2005-04,315,2433924
2005-05,192,2393904
2005-06,31,2119341
2005-07,4,2133985
2005-08,8,2212386
2005-09,43,2927812
2005-10,243,3019120
2005-11,473,3424302
2005-12,863,2999510
2006-01,688,2715942
2006-02,724,2285854
2006-03,603,2156063
2006-04,275,2313836
2006-05,143,2350719
2006-06,26,2063144
2006-07,3,2055019
2006-08,12,2350481
2006-09,87,2796708
2006-10,311,2710719
2006-11,476,3340935
2006-12,692,3086015
2007-01,840,2357258
2007-02,840,2031510
2007-03,500,1920466
2007-04,374,2093773
2007-05,118,2141595
2007-06,28,1910441
2007-07,7,1892010
2007-08,9,1932042
2007-09,50,2523331
2007-10,183,2340217
2007-11,522,2913823
2007-12,798,2866273
2008-01,886,2159445
2008-02,729,1925203
2008-03,611,1947752
2008-04,326,2208375
2008-05,189,2186616
2008-06,30,2000656
2008-07,7,1965799
2008-08,15,2083848
2008-09,56,2356298
2008-10,284,2652260
2008-11,535,3091695
2008-12,826,2588168
2009-01,951,2249140
2009-02,694,1987310
2009-03,578,1901337
2009-04,334,2052728
2009-05,137,2067714
2009-06,44,1899906
2009-07,15,1858149
2009-08,15,2007922
2009-09,62,2591329
2009-10,332,2925172
2009-11,447,3114982
2009-12,871,2679165
2010-01,927,2357521
2010-02,808,1912810
2010-03,551,1809291
2010-04,272,1933061
2010-05,141,1881017
2010-06,31,1745351
2010-07,6,1810222
2010-08,9,1961678
2010-09,53,2557890
2010-10,238,2741240
2010-11,525,3204129
2010-12,901,2920826
2011-01,954,2316909
2011-02,742,1866762
2011-03,581,1766973
2011-04,314,1927379
2011-05,158,1926330
2011-06,39,1742917
2011-07,7,1752469
2011-08,9,1967458
2011-09,58,2521108
2011-10,256,2567155
2011-11,473,2878785
2011-12,724,2503907
2012-01,763,2167841
2012-02,629,1901084
2012-03,381,1807208
2012-04,292,2008815
2012-05,99,2069773
2012-06,32,1868356
2012-07,5,1873835
2012-08,9,1953071
2012-09,61,2127761
2012-10,262,2500654
2012-11,541,2756180
2012-12,699,2541878
2013-01,829,2031872
2013-02,734,1744454
2013-03,661,1655634
2013-04,348,1891783
2013-05,136,1890515
2013-06,26,1657334
2013-07,5,1667396
2013-08,12,1825023
2013-09,60,2230493
2013-10,258,2452403
2013-11,573,2888640
2013-12,830,2714054
2014-01,971,1973294
2014-02,800,1664938
2014-03,684,1637491
2014-04,325,1878926
2014-05,127,1825828
2014-06,28,1649515
2014-07,10,1617274
2014-08,13,1691813
2014-09,58,2142925
2014-10,221,2480950
2014-11,615,2809788
2014-12,707,2491864
2015-01,892,1776171
2015-02,869,1666520
2015-03,586,1574975
2015-04,301,1736462
2015-05,119,1657997
2015-06,24,1527833
2015-07,6,1504000
2015-08,11,1741293
2015-09,32,2170709
2015-10,228,2332539
2015-11,446,2729715
2015-12,582,2399702
2016-01,872,1868947
2016-02,630,1635827
2016-03,451,1460924
2016-04,311,1682924
2016-05,151,1708641
2016-06,21,1604249
2016-07,6,1576387
2016-08,6,1823867
2016-09,39,2278151
2016-10,198,2503421
2016-11,419,2733970
2016-12,785,2399154
2017-01,768,1834529
2017-02,549,1627791
2017-03,545,1590484
2017-04,249,1896137
2017-05,154,1659882
2017-06,25,1555226
2017-07,5,1559080
2017-08,15,1810079
2017-09,45,2128845
2017-10,193,2566993
2017-11,492,2475594
2017-12,800,2122784
2018-01,899,1765375
2018-02,627,1644231
2018-03,611,1462070
2018-04,412,1751683
2018-05,86,1758733
2018-06,26,1550879
2018-07,4,1526297
2018-08,7,1681005
2018-09,38,2126369
2018-10,255,2144378
2018-11,595,2165268
2018-12,734,2326360
2019-01,862,1663400
2019-02,722,1428227
2019-03,634,1422495
2019-04,289,1695102
2019-05,159,1686609
2019-06,34,1534122
2019-07,5,1522613
2019-08,10,1724877
2019-09,41,2205787
2019-10,255,2242986
2019-11,591,2561858
2019-12,718,2327730
2020-01,741,1782796
2020-02,654,1557224
2020-03,485,1482150
2020-04,360,1577962
2020-05,157,1584933
2020-06,26,1483684
2020-07,5,1573043
2020-08,7,1745171
2020-09,58,2100921
2020-10,248,2511097
2020-11,423,2675834
2020-12,752,2263659
2021-01,805,1753642
2021-02,794,1553189
2021-03,508,1428554
2021-04,308,1651580
2021-05,151,1600484
2021-06,12,1368369
2021-07,5,1514697
2021-08,6,1743530
2021-09,40,2197936
2021-10,180,2500315
2021-11,509,2700545
2021-12,616,2378895
2022-01,912,1913629
2022-02,709,1645873
2022-03,524,1542170
2022-04,342,1725712
2022-05,123,1748435
2022-06,26,1591373
2022-07,4,1611453
2022-08,6,1880985
2022-09,44,2258431
2022-10,257,2242427
2022-11,512,2487638
2022-12,782,2120198
2023-01,715,1700950
2023-02,620,1649073
2023-03,586,1494128
2023-04,296,1669178
2023-05,146,1598071
2023-06,44,1444378
2023-07,5,1522382
