Date,Value
194913,4935
195013,5364
195113,5312
195213,5084
195313,4748
195413,4963
195513,5244
195613,5127
195713,5045
195813,5466
195913,5094
196013,5402
196113,5191
196213,5342
196313,5360
196413,5085
196513,5145
196613,5307
196713,5213
196813,5245
196913,5301
197013,5216
197113,5070
197213,5248
197301,965
197302,842
197303,552
197304,402
197305,215
197306,26
197307,8
197308,11
197309,74
197310,246
197311,555
197312,868
197313,4762
197401,911
197402,822
197403,618
197404,351
197405,200
197406,51
197407,8
197408,18
197409,114
197410,349
197411,581
197412,857
197413,4880
197501,887
197502,804
197503,750
197504,495
197505,135
197506,42
197507,7
197508,16
197509,121
197510,267
197511,509
197512,869
197513,4903
197601,1050
197602,661
197603,594
197604,346
197605,207
197606,33
197607,11
197608,24
197609,99
197610,413
197611,730
197612,1012
197613,5179
197701,1266
197702,809
197703,573
197704,304
197705,136
197706,44
197707,7
197708,18
197709,70
197710,332
197711,544
197712,910
197713,5014
197801,1131
197802,1023
197803,738
197804,389
197805,182
197806,37
197807,10
197808,14
197809,71
197810,320
197811,565
197812,901
197813,5382
197901,1141
197902,1012
197903,621
197904,403
197905,171
197906,44
197907,9
197908,19
197909,71
197910,304
197911,572
197912,799
197913,5166
198001,940
198002,884
198003,729
198004,374
198005,163
198006,58
198007,7
198008,13
198009,63
198010,350
198011,611
198012,886
198013,5077
198101,1038
198102,732
198103,661
198104,291
198105,188
198106,31
198107,9
198108,15
198109,89
198110,360
198111,545
198112,893
198113,4851
198201,1120
198202,818
198203,660
198204,443
198205,132
198206,70
198207,9
198208,24
198209,87
198210,290
198211,553
198212,728
198213,4936
198301,914
198302,740
198303,622
198304,453
198305,211
198306,40
198307,8
198308,7
198309,62
198310,274
198311,545
198312,1031
198313,4906
198401,1041
198402,674
198403,740
198404,399
198405,192
198406,33
198407,10
198408,9
198409,101
198410,242
198411,599
198412,735
198413,4775
198501,1093
198502,839
198503,586
198504,285
198505,139
198506,53
198507,7
198508,21
198509,79
198510,265
198511,537
198512,984
198513,4888
198601,889
198602,761
198603,570
198604,318
198605,140
