Date,Value
Jan-2001,2676998
Feb-2001,2309464
Mar-2001,2246633
Apr-2001,1807170
May-2001,1522382
Jun-2001,1444378
Jul-2001,1598071
Aug-2001,1669178
Sep-2001,1494128
Oct-2001,1649073
Nov-2001,1700950
Dec-2001,2120198
Jan-2002,2487638
Feb-2002,2242427
Mar-2002,2258431
Apr-2002,1880985
May-2002,1611453
Jun-2002,1591373
Jul-2002,1748435
Aug-2002,1725712
Sep-2002,1542170
Oct-2002,1645873
Nov-2002,1913629
Dec-2002,2378895
Jan-2003,2700545
Feb-2003,2500315
Mar-2003,2197936
Apr-2003,1743530
May-2003,1514697
Jun-2003,1368369
Jul-2003,1600484
Aug-2003,1651580
Sep-2003,1428554
Oct-2003,1553189
Nov-2003,1753642
Dec-2003,2263659
Jan-2004,2675834
Feb-2004,2511097
Mar-2004,2100921
Apr-2004,1745171
May-2004,1573043
Jun-2004,1483684
Jul-2004,1584933
Aug-2004,1577962
Sep-2004,1482150
Oct-2004,1557224
Nov-2004,1782796
Dec-2004,2327730
Jan-2005,2561858
Feb-2005,2242986
Mar-2005,2205787
Apr-2005,1724877
May-2005,1522613
Jun-2005,1534122
Jul-2005,1686609
Aug-2005,1695102
Sep-2005,1422495
Oct-2005,1428227
Nov-2005,1663400
Dec-2005,2326360
Jan-2006,2165268
Feb-2006,2144378
Mar-2006,2126369
Apr-2006,1681005
May-2006,1526297
Jun-2006,1550879
Jul-2006,1758733
Aug-2006,1751683
Sep-2006,1462070
Oct-2006,1644231
Nov-2006,1765375
Dec-2006,2122784
Jan-2007,2475594
Feb-2007,2566993
Mar-2007,2128845
Apr-2007,1810079
May-2007,1559080
Jun-2007,1555226
Jul-2007,1659882
Aug-2007,1896137
Sep-2007,1590484
Oct-2007,1627791
Nov-2007,1834529
Dec-2007,2399154
Jan-2008,2733970
Feb-2008,2503421
Mar-2008,2278151
Apr-2008,1823867
May-2008,1576387
Jun-2008,1604249
Jul-2008,1708641
Aug-2008,1682924
Sep-2008,1460924
Oct-2008,1635827
Nov-2008,1868947
Dec-2008,2399702
Jan-2009,2729715
Feb-2009,2332539
Mar-2009,2170709
Apr-2009,1741293
May-2009,1504000
Jun-2009,1527833
Jul-2009,1657997
Aug-2009,1736462
Sep-2009,1574975
Oct-2009,1666520
Nov-2009,1776171
Dec-2009,2491864
Jan-2010,2809788
Feb-2010,2480950
Mar-2010,2142925
Apr-2010,1691813
May-2010,1617274
Jun-2010,1649515
Jul-2010,1825828
Aug-2010,1878926
Sep-2010,1637491
Oct-2010,1664938
Nov-2010,1973294
Dec-2010,2714054
Jan-2011,2888640
Feb-2011,2452403
Mar-2011,2230493
Apr-2011,1825023
May-2011,1667396
Jun-2011,1657334
Jul-2011,1890515
Aug-2011,1891783
Sep-2011,1655634
Oct-2011,1744454
Nov-2011,2031872
Dec-2011,2541878
Jan-2012,2756180
Feb-2012,2500654
Mar-2012,2127761
Apr-2012,1953071
May-2012,1873835
Jun-2012,1868356
Jul-2012,2069773
Aug-2012,2008815
Sep-2012,1807208
Oct-2012,1901084
Nov-2012,2167841
Dec-2012,2503907
Jan-2013,2878785
Feb-2013,2567155
Mar-2013,2521108
Apr-2013,1967458
May-2013,1752469
Jun-2013,1742917
Jul-2013,1926330
Aug-2013,1927379
Sep-2013,1766973
Oct-2013,1866762
Nov-2013,2316909
Dec-2013,2920826
Jan-2014,3204129
Feb-2014,2741240
Mar-2014,2557890
Apr-2014,1961678
May-2014,1810222
Jun-2014,1745351
Jul-2014,1881017
Aug-2014,1933061
Sep-2014,1809291
Oct-2014,1912810
Nov-2014,2357521
Dec-2014,2679165
Jan-2015,3114982
Feb-2015,2925172
Mar-2015,2591329
Apr-2015,2007922
May-2015,1858149
Jun-2015,1899906
Jul-2015,2067714
Aug-2015,2052728
Sep-2015,1901337
Oct-2015,1987310
Nov-2015,2249140
Dec-2015,2588168
Jan-2016,3091695
Feb-2016,2652260
Mar-2016,2356298
Apr-2016,2083848
May-2016,1965799
Jun-2016,2000656
Jul-2016,2186616
Aug-2016,2208375
Sep-2016,1947752
Oct-2016,1925203
Nov-2016,2159445
Dec-2016,2866273
Jan-2017,2913823
Feb-2017,2340217
Mar-2017,2523331
Apr-2017,1932042
May-2017,1892010
Jun-2017,1910441
Jul-2017,2141595
Aug-2017,2093773
Sep-2017,1920466
Oct-2017,2031510
Nov-2017,2357258
Dec-2017,3086015
Jan-2018,3340935
Feb-2018,2710719
Mar-2018,2796708
Apr-2018,2350481
May-2018,2055019
Jun-2018,2063144
Jul-2018,2350719
Aug-2018,2313836
Sep-2018,2156063
Oct-2018,2285854
Nov-2018,2715942
Dec-2018,2999510
Jan-2019,3424302
Feb-2019,3019120
Mar-2019,2927812
Apr-2019,2212386
May-2019,2133985
Jun-2019,2119341
Jul-2019,2393904
Aug-2019,2433924
Sep-2019,2206252
Oct-2019,2306544
Nov-2019,2783754
Dec-2019,3170717
Jan-2020,3327245
Feb-2020,3062299
Mar-2020,2725503
Apr-2020,2263569
May-2020,2076671
Jun-2020,2134224
Jul-2020,2468300
Aug-2020,2404283
Sep-2020,2156948
Oct-2020,2320505
Nov-2020,2446546
Dec-2020,3188152
Jan-2021,3335219
Feb-2021,3095717
Mar-2021,2640102
Apr-2021,2271622
May-2021,2116420
Jun-2021,2242031
Jul-2021,2417590
Aug-2021,2436266
Sep-2021,2138211
Oct-2021,2259328
Nov-2021,2684978
Dec-2021,3008222
Jan-2022,3593297
Feb-2022,3059140
Mar-2022,2780564
Apr-2022,2360385
May-2022,2241399
Jun-2022,2316782
Jul-2022,2582825
Aug-2022,2559333
Sep-2022,2287981
Oct-2022,2363706
Nov-2022,2766953
Dec-2022,3375867
Jan-2023,3301789
Feb-2023,2947484
Mar-2023,3009403
Apr-2023,2421463
May-2023,2316287
Jun-2023,2356213
Jul-2023,2665376
Aug-2023,2673473
Sep-2023,2367994
