Date,Value
11/1/2023,2.926
10/1/2023,3.575
9/1/2023,2.929
8/1/2023,2.768
7/1/2023,2.634
6/1/2023,2.798
5/1/2023,2.266
4/1/2023,2.41
3/1/2023,2.216
2/1/2023,2.747
1/1/2023,2.684
12/1/2022,4.475
11/1/2022,6.93
10/1/2022,6.355
9/1/2022,6.766
8/1/2022,9.127
7/1/2022,8.229
6/1/2022,5.424
5/1/2022,8.145
4/1/2022,7.244
3/1/2022,5.642
2/1/2022,4.402
1/1/2022,4.874
12/1/2021,3.73
11/1/2021,4.567
10/1/2021,5.426
9/1/2021,5.867
8/1/2021,4.377
7/1/2021,3.914
6/1/2021,3.65
5/1/2021,2.986
4/1/2021,2.931
3/1/2021,2.608
2/1/2021,2.771
1/1/2021,2.564
12/1/2020,2.539
11/1/2020,2.882
10/1/2020,3.354
9/1/2020,2.527
8/1/2020,2.63
7/1/2020,1.799
6/1/2020,1.751
5/1/2020,1.849
4/1/2020,1.949
3/1/2020,1.64
2/1/2020,1.684
1/1/2020,1.841
12/1/2019,2.189
11/1/2019,2.281
10/1/2019,2.633
9/1/2019,2.33
8/1/2019,2.285
7/1/2019,2.233
6/1/2019,2.308
5/1/2019,2.454
4/1/2019,2.575
3/1/2019,2.662
2/1/2019,2.812
1/1/2019,2.814
12/1/2018,2.94
11/1/2018,4.612
10/1/2018,3.261
9/1/2018,3.008
8/1/2018,2.916
7/1/2018,2.782
6/1/2018,2.924
5/1/2018,2.952
4/1/2018,2.763
3/1/2018,2.733
2/1/2018,2.667
1/1/2018,2.995
12/1/2017,2.953
11/1/2017,3.025
10/1/2017,2.896
9/1/2017,3.007
8/1/2017,3.04
7/1/2017,2.794
6/1/2017,3.035
5/1/2017,3.071
4/1/2017,3.276
3/1/2017,3.19
2/1/2017,2.774
1/1/2017,3.117
12/1/2016,3.724
11/1/2016,3.352
10/1/2016,3.026
9/1/2016,2.906
8/1/2016,2.887
7/1/2016,2.876
6/1/2016,2.924
5/1/2016,2.288
4/1/2016,2.178
3/1/2016,1.959
2/1/2016,1.711
1/1/2016,2.298
12/1/2015,2.337
11/1/2015,2.235
10/1/2015,2.321
9/1/2015,2.524
8/1/2015,2.689
7/1/2015,2.716
6/1/2015,2.832
5/1/2015,2.642
4/1/2015,2.751
3/1/2015,2.64
2/1/2015,2.734
1/1/2015,2.691
12/1/2014,2.889
11/1/2014,4.088
10/1/2014,3.873
9/1/2014,4.121
8/1/2014,4.065
7/1/2014,3.841
6/1/2014,4.461
5/1/2014,4.542
4/1/2014,4.815
