Month,Data1,Data2,Data3
1997-01,935,3.451052631578947,2.385
1997-02,678,2.150526315789474,1.821
1997-03,557,1.8905,1.926
1997-04,417,2.0327272727272727,2.184
1997-05,207,2.248095238095238,2.239
1997-06,37,2.2033333333333336,2.139
1997-07,10,2.1895454545454545,2.177
1997-08,19,2.4914285714285715,2.714
1997-09,69,2.8833333333333333,3.082
1997-10,285,3.073913043478261,3.552
1997-11,604,3.0077777777777777,2.578
1997-12,812,2.3477272727272727,2.264
1998-01,769,2.091,2.257
1998-02,631,2.2289473684210526,2.321
1998-03,603,2.2418181818181817,2.522
1998-04,344,2.4276190476190473,2.221
1998-05,128,2.141,2.17
1998-06,47,2.1672727272727275,2.469
1998-07,5,2.1672727272727275,1.844
1998-08,8,1.8514285714285716,1.752
1998-09,38,2.0176190476190476,2.433
1998-10,255,1.9122727272727273,2.275
1998-11,495,2.1226315789473684,1.976
1998-12,726,1.721818181818182,1.945
1999-01,857,1.8494736842105264,1.777
1999-02,647,1.7710526315789472,1.628
1999-03,648,1.7917391304347827,2.013
1999-04,333,2.15,2.253
1999-05,154,2.2600000000000002,2.358
1999-06,35,2.304090909090909,2.394
1999-07,7,2.3071428571428574,2.543
1999-08,16,2.794545454545455,2.825
1999-09,66,2.546190476190476,2.744
1999-10,280,2.728095238095238,2.961
1999-11,423,2.367,2.304
1999-12,765,2.355238095238095,2.329
2000-01,883,2.421578947368421,2.662
2000-02,640,2.6595,2.761
2000-03,498,2.793181818181818,2.945
2000-04,346,3.041578947368421,3.141
2000-05,126,3.5868181818181815,4.356
2000-06,32,4.292272727272728,4.476
2000-07,14,3.9899999999999998,3.774
2000-08,14,4.429565217391304,4.782
2000-09,75,5.056,5.186
2000-10,252,5.022272727272727,4.49
2000-11,618,5.5245,6.589
2000-12,995,8.9,9.775
2001-01,929,8.172857142857143,5.707
2001-02,720,5.606315789473684,5.236
2001-03,663,5.2304545454545455,5.025
2001-04,311,5.192,4.695
2001-05,124,4.191363636363636,3.914
2001-06,32,3.72047619047619,3.096
2001-07,10,3.1090476190476193,3.296
2001-08,7,2.967826086956522,2.38
2001-09,74,2.1915789473684213,2.244
2001-10,271,2.4608695652173913,3.291
2001-11,411,2.3425000000000002,2.701
2001-12,704,2.3021052631578947,2.57
2002-01,785,2.3176190476190475,2.138
2002-02,672,2.3236842105263156,2.357
2002-03,629,3.0285,3.283
2002-04,296,3.4268181818181818,3.795
2002-05,196,3.4981818181818185,3.217
2002-06,27,3.2615000000000003,3.245
2002-07,4,2.9871428571428575,2.954
2002-08,10,3.087727272727273,3.296
2002-09,43,3.5490000000000004,4.138
2002-10,310,4.1265217391304345,4.156
2002-11,567,4.043157894736842,4.2
2002-12,819,4.740952380952381,4.789
2003-01,948,5.432380952380952,5.605
2003-02,806,7.707894736842104,8.101
2003-03,580,5.933333333333333,5.06
2003-04,360,5.263333333333334,5.385
2003-05,177,5.813809523809524,6.251
2003-06,45,5.8185714285714285,5.411
2003-07,5,5.026363636363636,4.718
2003-08,6,4.984761904761905,4.731
2003-09,67,4.62047619047619,4.83
2003-10,266,4.626956521739131,4.893
2003-11,490,4.47,4.925
2003-12,792,6.1276190476190475,6.189
2004-01,968,6.138947368421053,5.397
2004-02,766,5.368947368421053,5.416
2004-03,498,5.393913043478261,5.933
2004-04,312,5.709047619047619,5.862
2004-05,117,6.3335,6.442
2004-06,41,6.270476190476191,6.155
2004-07,9,5.9314285714285715,6.112
2004-08,22,5.406363636363636,5.074
2004-09,53,5.145238095238095,6.795
2004-10,260,6.353333333333333,8.725
2004-11,497,6.165,7.62
2004-12,802,6.576666666666667,6.149
2005-01,855,6.15,6.321
2005-02,674,6.137894736842106,6.73
2005-03,647,6.96,7.653
2005-04,315,7.1585714285714275,6.585
2005-05,192,6.472380952380952,6.379
2005-06,31,7.1827272727272735,6.981
2005-07,4,7.6285,7.885
2005-08,8,9.532608695652174,11.472
2005-09,43,11.745333333333333,13.921
2005-10,243,13.42235294117647,12.205
2005-11,473,10.304,12.587
2005-12,863,13.049047619047618,11.225
2006-01,688,8.686,9.316
2006-02,724,7.536315789473684,6.714
2006-03,603,6.888260869565218,7.21
2006-04,275,7.163684210526316,6.555
2006-05,143,6.244999999999999,6.384
2006-06,26,6.21,6.104
2006-07,3,6.1684210526315795,8.211
2006-08,12,7.135217391304349,6.048
2006-09,87,4.896,5.62
2006-10,311,5.846818181818182,7.534
2006-11,476,7.4045000000000005,8.844
2006-12,692,6.733499999999999,6.299
2007-01,840,6.551904761904762,7.667
2007-02,840,8.00157894736842,7.3
2007-03,500,7.107727272727273,7.73
2007-04,374,7.600499999999999,7.863
2007-05,118,7.637272727272728,7.935
2007-06,28,7.346190476190476,6.773
2007-07,7,6.218571428571429,6.191
2007-08,9,6.217826086956522,5.468
2007-09,50,6.079473684210527,6.87
2007-10,183,6.74304347826087,8.33
2007-11,522,7.102380952380953,7.302
2007-12,798,7.1045,7.483
2008-01,886,7.9852380952380955,8.074
2008-02,729,8.544,9.366
2008-03,611,9.413,10.101
2008-04,326,10.181363636363637,10.843
2008-05,189,11.269047619047619,11.703
2008-06,30,12.685238095238095,13.353
2008-07,7,11.088636363636363,9.119
2008-08,15,8.256666666666666,7.943
2008-09,56,7.673809523809524,7.438
2008-10,284,6.736521739130435,6.783
2008-11,535,6.683684210526316,6.51
2008-12,826,5.815454545454545,5.622
2009-01,951,5.2405,4.417
2009-02,694,4.514736842105263,4.198
2009-03,578,3.9595454545454545,3.776
2009-04,334,3.494761904761905,3.373
2009-05,137,3.8325000000000005,3.835
2009-06,44,3.8004545454545453,3.835
2009-07,15,3.3836363636363633,3.653
2009-08,15,3.1409523809523807,2.977
2009-09,62,2.986666666666667,4.841
2009-10,332,4.007727272727273,5.045
2009-11,447,3.6630000000000003,4.848
